Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Sol Ring,nec,Near Mint,English,,,27:09.2,161,FALSE,FALSE,
1,1,Sol Ring,ncc,Near Mint,English,,,27:09.2,379,FALSE,FALSE,
1,1,Sol Ring,clb,Near Mint,English,,,27:09.2,871,FALSE,FALSE,
1,1,Solemn Simulacrum,afc,Near Mint,English,,,27:09.2,216,FALSE,FALSE,
1,1,Solemn Simulacrum,dmc,Near Mint,English,,,27:09.2,191,FALSE,FALSE,
1,1,Solemn Simulacrum,ddu,Near Mint,English,,,27:09.2,62,FALSE,FALSE,
1,1,Solemn Simulacrum,plst,Near Mint,English,,,27:09.2,DDU-62,FALSE,FALSE,
1,1,Solitary Confinement,mh2,Near Mint,English,,,27:09.2,265,FALSE,FALSE,
1,1,Songs of the Damned,uma,Near Mint,English,,,27:09.2,115,FALSE,FALSE,
1,1,Songs of the Damned,ice,Near Mint,English,,,27:09.2,160,FALSE,FALSE,
1,1,Soulless One,ons,Near Mint,English,,,27:09.2,171,FALSE,FALSE,
1,1,Spelltithe Enforcer,gpt,Near Mint,English,,,27:09.2,18,FALSE,FALSE,
1,1,"Sram, Senior Edificer",aer,Near Mint,English,,,27:09.2,23,FALSE,FALSE,
1,1,Sterling Grove,mh2,Near Mint,English,,,27:09.2,293,FALSE,FALSE,
1,1,Storm-Kiln Artist,stx,Near Mint,English,,,27:09.2,115,FALSE,FALSE,
1,1,Sun Titan,afc,Near Mint,English,,,27:09.2,73,FALSE,FALSE,
1,1,Sunbird's Invocation,xln,Near Mint,English,,,27:09.2,165,FALSE,FALSE,
1,1,Swiftfoot Boots,ncc,Near Mint,English,,,27:09.2,382,FALSE,FALSE,
1,1,Tendrils of Corruption,tsr,Near Mint,English,,,27:09.2,145,FALSE,FALSE,
1,1,"Teysa, Envoy of Ghosts",c15,Near Mint,English,,,27:09.2,234,FALSE,FALSE,
1,1,The Eldest Reborn,c19,Near Mint,English,,,27:09.2,131,FALSE,FALSE,
1,1,Thorn Elemental,7ed,Near Mint,English,foil,,27:09.2,273,FALSE,FALSE,
1,1,Thought Vessel,cmr,Near Mint,English,,,27:09.2,346,FALSE,FALSE,
1,1,Thwart the Grave,clb,Near Mint,English,,,27:09.2,773,FALSE,FALSE,
